Distance	Si	Ti	Al	Mg	Fe	Mn	Ca	SumCat	Xalm	Xsps	Xprp	Xgrs	XMg	ratio_CaFe
220	3.06093364	0.00350878	1.90791354	0.51604748	2.43679235	0.00971595	0.02755593	8.00073396	0.81492492	0.00326281	0.17260276	0.00920951	0.17476909	0.01128253
230	2.97805438	0.00371797	1.97095618	0.60517342	2.42356307	0.01145299	0.02886354	8.0445356	0.79411012	0.00380427	0.19281982	0.00953753	0.19510569	0.01174149
240	2.99742891	0.00373242	1.97847587	0.52365527	2.44446657	0.01286096	0.03495892	8.02810565	0.8142459	0.00430701	0.17126477	0.01168122	0.17376766	0.01436675
250	3.0173726	0.00364062	1.9196364	0.50050453	2.51257464	0.01137497	0.03699224	8.0365186	0.81971718	0.00375574	0.1646054	0.01201329	0.16717028	0.01462424
260	3.03285545	0.00346729	1.93358306	0.49461994	2.46109176	0.010798	0.04450768	8.01303444	0.81564317	0.00362529	0.16594641	0.01484764	0.16906794	0.01830662
270	3.01689862	0.00316022	1.9685734	0.49262294	2.44603398	0.01236934	0.04281156	8.00900603	0.81686289	0.00413759	0.16474389	0.01431154	0.16784996	0.01764081
280	3.02710218	0.00338841	1.9541709	0.51070466	2.43305886	0.01053186	0.03967396	8.00635568	0.81277815	0.00351669	0.17050932	0.01324211	0.17340422	0.01631765
290	3.03165603	0.00327312	1.95543524	0.51320539	2.42435585	0.00958864	0.03630063	8.0010161	0.81270078	0.0032109	0.17196244	0.01216758	0.17463537	0.01497179
300	3.04376739	0.0031088	1.93575006	0.51333965	2.43389049	0.00912726	0.03537703	7.99624683	0.81352511	0.00305037	0.17164031	0.01182096	0.17422309	0.01453617
310	3.03287029	0.00311215	1.95703116	0.50973153	2.42927717	0.00906793	0.03393489	7.99631059	0.81483881	0.0030346	0.1708517	0.01138592	0.17333345	0.01397959
320	3.0366003	0.00330054	1.95447279	0.51356879	2.4198037	0.00827797	0.03473945	7.994962	0.81306717	0.00277556	0.17248231	0.01167495	0.175011	0.01436598
330	3.04253888	0.00313405	1.94320037	0.50108599	2.43690549	0.00830139	0.03475208	7.99553551	0.81744077	0.00278728	0.16812138	0.01165057	0.17058565	0.01426466
340	3.04052723	0.00288095	1.94615071	0.50928476	2.43003168	0.00821806	0.0351819	7.99485667	0.81478457	0.00275263	0.17070198	0.01179398	0.17321615	0.01448367
350	3.03523883	0.00313903	1.95452063	0.51136021	2.42362439	0.00790117	0.03592023	7.99721187	0.81373835	0.00265549	0.17160916	0.01206177	0.17416178	0.0148339
360	3.03873592	0.00311188	1.94189086	0.50820619	2.44163764	0.0076325	0.03419537	7.99909511	0.81616951	0.00254951	0.16988369	0.01142802	0.17228638	0.01400669
370	3.02532744	0.0034327	1.96243384	0.50204406	2.43909008	0.00757873	0.03562273	8.00460873	0.81737255	0.00253762	0.16817127	0.01194951	0.17063572	0.01462392
380	3.04018734	0.00300022	1.9473441	0.50383425	2.43369037	0.00857914	0.03583135	7.99381403	0.81617886	0.00287425	0.1689327	0.0120142	0.17148492	0.0147264
390	3.03198703	0.0031921	1.94888657	0.5076952	2.44225337	0.00847422	0.03741915	8.00096288	0.81527243	0.00282763	0.16940521	0.01249473	0.17203957	0.01533214
400	3.03525547	0.00316123	1.95169309	0.49542639	2.44476798	0.00777982	0.03584974	7.99753979	0.81940538	0.00260677	0.16597234	0.01201551	0.16843484	0.01467073
410	3.03184746	0.00322903	1.95324699	0.49836952	2.44473619	0.00871772	0.03705377	7.99939936	0.81804309	0.00291327	0.16665675	0.01238689	0.16924333	0.0151462
420	3.0253976	0.00322532	1.95380348	0.49169887	2.46243245	0.00856862	0.03761191	8.00631324	0.82046026	0.00286252	0.16415302	0.01255787	0.16672192	0.01531518
430	3.03496587	0.00327619	1.95082512	0.48634076	2.45370696	0.00857885	0.03686832	7.99812868	0.82185128	0.00286758	0.16292367	0.01235747	0.16544517	0.01504616
440	3.03857532	0.0033021	1.94205055	0.49189291	2.45329057	0.00893931	0.03794388	7.99819997	0.81997562	0.00298149	0.16436405	0.01267884	0.16697922	0.01547058
450	3.03397873	0.00317267	1.95378465	0.48719928	2.44928096	0.00933629	0.03729024	7.99786972	0.82106424	0.00313162	0.16330762	0.01249652	0.16589622	0.01522446
460	3.03976516	0.0031046	1.95035569	0.47987773	2.45010414	0.00928216	0.03884175	7.99268715	0.82278971	0.00311454	0.16104711	0.01304864	0.16369193	0.01586764
470	3.04227153	0.00324768	1.94346747	0.4830101	2.45058432	0.00931567	0.03787888	7.99571846	0.82215882	0.00312402	0.16201333	0.01270382	0.1646101	0.01545165
480	3.05126453	0.00335907	1.9440624	0.47079115	2.44506447	0.0094565	0.03799307	7.9848189	0.82536442	0.00317662	0.15867554	0.01282364	0.16124872	0.01554454
490	3.04326076	0.00306847	1.95045621	0.46580447	2.45532111	0.00927156	0.03915992	7.99054284	0.82688627	0.00311773	0.15679554	0.01320047	0.15938665	0.01595779
500	3.04329819	0.00341921	1.95346397	0.46521608	2.4524375	0.00960125	0.03784662	7.98794663	0.82726002	0.00323014	0.15672449	0.01278534	0.15927069	0.01545806
510	3.06174067	0.00338173	1.93476251	0.46804102	2.44196865	0.00957615	0.03714843	7.97860426	0.82605704	0.00322106	0.15822859	0.01257092	0.16075036	0.01521854
520	3.03717251	0.00321912	1.94904128	0.45951695	2.4754135	0.01077019	0.03779799	7.99724393	0.82987649	0.00361371	0.15388197	0.01262783	0.1564155	0.01521654
530	3.06079129	0.00357426	1.93981966	0.4404653	2.46073368	0.0111791	0.0364123	7.97860214	0.8348184	0.00378554	0.14910072	0.01233886	0.15154395	0.0147944
540	3.04333772	0.00319656	1.93797363	0.45772267	2.48281909	0.01148182	0.03631719	7.99610912	0.8308785	0.00384143	0.15312033	0.01215973	0.15560383	0.01463273
550	3.02965053	0.0031428	1.96348956	0.4518258	2.47732973	0.01135164	0.03821857	7.99591514	0.83171713	0.00381583	0.1516335	0.01283354	0.1541968	0.01543665
560	3.02891033	0.00323886	1.95628951	0.45175307	2.48931943	0.01257842	0.03625812	8.00106438	0.83260221	0.00420708	0.15106646	0.01212425	0.15357382	0.01457003
570	3.02852059	0.0033848	1.95733147	0.4533931	2.48514873	0.01223609	0.03769279	8.00115015	0.83166218	0.00409391	0.15163218	0.01261174	0.15420725	0.01517199
580	3.03819505	0.00312905	1.95265881	0.44341351	2.48479981	0.01215355	0.03703311	7.99342185	0.83462424	0.0040794	0.14886437	0.01243199	0.15136818	0.01490742
590	3.02448874	0.00328896	1.9556781	0.45231114	2.4970182	0.01316613	0.03641757	8.00639765	0.83266201	0.00438899	0.15081583	0.01213317	0.15334533	0.01457455
600	3.03165046	0.00332982	1.95513448	0.45261319	2.48198515	0.01382278	0.03765845	7.99883099	0.83128457	0.00462553	0.15147949	0.01261042	0.15413929	0.01518192
610	3.02345252	0.00341716	1.9646561	0.4393864	2.49811143	0.0144145	0.03635178	8.00193818	0.83602906	0.00482486	0.14697441	0.01217167	0.14951359	0.01456446
620	3.0371365	0.0033485	1.95173442	0.4417774	2.48667034	0.01436495	0.03624343	7.99602004	0.83477389	0.00482374	0.14822686	0.01217551	0.15078464	0.01458826
