Distance (um)	Xalm	Xsps	Xprp	Xgrs
220	0.74888351	0.11604104	0.06294527	0.07213018
230	0.74809973	0.11575829	0.06329532	0.07284665
240	0.74897112	0.11524945	0.06284643	0.072933
250	0.74736929	0.11622343	0.06371618	0.07269111
260	0.74762625	0.11587553	0.0629631	0.07353512
270	0.74700091	0.11538271	0.06409153	0.07352484
280	0.74861774	0.11494813	0.06346304	0.07297109
290	0.7475012	0.11564876	0.06431338	0.07253666
300	0.74610851	0.11542906	0.06408342	0.07437901
310	0.7472896	0.11529079	0.06257908	0.07484053
320	0.74750254	0.11580917	0.06312087	0.07356742
330	0.74846625	0.11531616	0.0635539	0.07266369
340	0.74947475	0.11584078	0.06166476	0.07301971
350	0.74762041	0.11599328	0.06336632	0.07301999
360	0.74954109	0.11555184	0.0622112	0.07269588
370	0.74837482	0.11537465	0.06354293	0.0727076
380	0.7487264	0.11485847	0.06306904	0.07334609
390	0.74923941	0.11488805	0.0625925	0.07328003
400	0.74913768	0.11445187	0.0622079	0.07420255
410	0.7467301	0.11524991	0.06394083	0.07407916
420	0.74821744	0.11454286	0.06367574	0.07356396
430	0.74770789	0.11450237	0.06407331	0.07371643
440	0.74792764	0.1144067	0.06403054	0.07363512
450	0.74892825	0.11402839	0.06310092	0.07394244
460	0.74863498	0.11423509	0.06378212	0.07334782
470	0.74825884	0.11438691	0.06340641	0.07394784
480	0.74755692	0.11401628	0.06414929	0.0742775
490	0.75103355	0.11370823	0.06258388	0.07267434
500	0.74914188	0.11399981	0.06331139	0.07354691
510	0.74936018	0.11313119	0.06361672	0.07389191
520	0.74821672	0.11309564	0.06417097	0.07451666
530	0.74650962	0.1129912	0.06435415	0.07614503
540	0.74749183	0.11380568	0.06350786	0.07519462
550	0.74869599	0.11311661	0.06362716	0.07456025
560	0.74876096	0.11350142	0.06327167	0.07446595
570	0.74947382	0.11205547	0.06380189	0.07466882
580	0.75017282	0.11233141	0.06410686	0.07338892
590	0.74799646	0.11328896	0.06415089	0.07456369
600	0.74918969	0.11263075	0.063844	0.07433556
610	0.74942716	0.11236499	0.06399009	0.07421776
620	0.75049326	0.11255557	0.06328684	0.07366433
630	0.75007521	0.11216559	0.06330475	0.07445445
640	0.74984235	0.11241288	0.06444745	0.07329732
650	0.75142116	0.11140418	0.06394106	0.0732336
660	0.75019956	0.11304224	0.06336833	0.07338988
670	0.75068853	0.111895	0.06314242	0.07427405
680	0.75173537	0.11072653	0.06237202	0.07516608
690	0.75042949	0.11123887	0.06382604	0.07450561
700	0.7502927	0.11165174	0.06368215	0.07437342
710	0.75345072	0.11170849	0.06223902	0.07260177
720	0.75289675	0.10994638	0.0650054	0.07215147
730	0.75214206	0.10887791	0.06666329	0.07231673
740	0.75203188	0.10878656	0.06630657	0.072875
750	0.75295616	0.10850732	0.06681412	0.0717224
760	0.75333341	0.10676187	0.06748589	0.07241883
